theta,t_c,gp_mean,L_true
13.400,1.113,0.4711,0.4525
14.000,1.113,0.4468,0.4275
14.600,1.113,0.4225,0.4051
15.200,1.113,0.3983,0.3828
15.800,1.113,0.3742,0.3604
16.400,1.113,0.3505,0.3386
17.000,1.113,0.3271,0.3171
17.600,1.113,0.3041,0.2956
18.200,1.113,0.2816,0.2745
18.800,1.113,0.2595,0.2543
19.400,1.113,0.2381,0.2340
20.000,1.113,0.2172,0.2137
20.600,1.113,0.1968,0.1879
21.200,1.113,0.1771,0.1620
21.800,1.113,0.1579,0.1361
22.400,1.113,0.1393,0.1184
23.000,1.113,0.1213,0.1048
23.600,1.113,0.1038,0.0912
24.200,1.113,0.0869,0.0787
24.800,1.113,0.0705,0.0684
25.400,1.113,0.0546,0.0582
26.000,1.113,0.0393,0.0479
26.600,1.113,0.0244,0.0365
27.200,1.113,0.0101,0.0252
27.800,1.113,-0.0037,0.0138
28.400,1.113,-0.0169,0.0097
29.000,1.113,-0.0296,0.0094
29.600,1.113,-0.0418,0.0090
30.200,1.113,-0.0533,0.0079
30.800,1.113,-0.0642,0.0052
31.400,1.113,-0.0745,0.0026
32.000,1.113,-0.0841,0.0000
8.000,1.150,0.6863,0.6458
8.600,1.150,0.6697,0.6246
9.200,1.150,0.6518,0.6033
9.800,1.150,0.6327,0.5821
10.400,1.150,0.6124,0.5637
11.000,1.150,0.5912,0.5467
11.600,1.150,0.5692,0.5297
12.200,1.150,0.5465,0.5100
12.800,1.150,0.5232,0.4850
13.400,1.150,0.4995,0.4600
14.000,1.150,0.4754,0.4350
14.600,1.150,0.4512,0.4130
15.200,1.150,0.4268,0.3910
15.800,1.150,0.4025,0.3690
16.400,1.150,0.3783,0.3468
17.000,1.150,0.3542,0.3246
17.600,1.150,0.3304,0.3023
18.200,1.150,0.3070,0.2805
18.800,1.150,0.2839,0.2595
19.400,1.150,0.2612,0.2385
20.000,1.150,0.2390,0.2175
20.600,1.150,0.2173,0.1927
21.200,1.150,0.1960,0.1680
21.800,1.150,0.1753,0.1433
22.400,1.150,0.1552,0.1262
23.000,1.150,0.1356,0.1129
23.600,1.150,0.1165,0.0997
24.200,1.150,0.0980,0.0872
24.800,1.150,0.0801,0.0762
25.400,1.150,0.0627,0.0652
26.000,1.150,0.0459,0.0542
26.600,1.150,0.0297,0.0424
27.200,1.150,0.0141,0.0307
27.800,1.150,-0.0009,0.0189
28.400,1.150,-0.0153,0.0140
29.000,1.150,-0.0290,0.0125
29.600,1.150,-0.0421,0.0110
30.200,1.150,-0.0544,0.0090
30.800,1.150,-0.0661,0.0060
31.400,1.150,-0.0770,0.0030
32.000,1.150,-0.0871,0.0000
8.000,1.188,0.7025,0.6521
8.600,1.188,0.6876,0.6308
9.200,1.188,0.6712,0.6096
9.800,1.188,0.6535,0.5883
10.400,1.188,0.6346,0.5702
11.000,1.188,0.6146,0.5535
11.600,1.188,0.5936,0.5369
12.200,1.188,0.5718,0.5175
12.800,1.188,0.5493,0.4925
13.400,1.188,0.5261,0.4675
14.000,1.188,0.5024,0.4425
14.600,1.188,0.4784,0.4209
15.200,1.188,0.4541,0.3992
15.800,1.188,0.4297,0.3776
16.400,1.188,0.4051,0.3551
17.000,1.188,0.3807,0.3321
17.600,1.188,0.3563,0.3091
18.200,1.188,0.3321,0.2865
18.800,1.188,0.3081,0.2648
19.400,1.188,0.2845,0.2430
20.000,1.188,0.2612,0.2213
20.600,1.188,0.2383,0.1976
21.200,1.188,0.2158,0.1740
21.800,1.188,0.1938,0.1504
22.400,1.188,0.1723,0.1339
23.000,1.188,0.1514,0.1210
23.600,1.188,0.1310,0.1082
24.200,1.188,0.1111,0.0957
24.800,1.188,0.0918,0.0839
25.400,1.188,0.0731,0.0722
26.000,1.188,0.0551,0.0604
26.600,1.188,0.0377,0.0483
27.200,1.188,0.0209,0.0362
27.800,1.188,0.0048,0.0240
28.400,1.188,-0.0106,0.0182
29.000,1.188,-0.0252,0.0156
29.600,1.188,-0.0391,0.0130
30.200,1.188,-0.0523,0.0101
30.800,1.188,-0.0646,0.0067
31.400,1.188,-0.0760,0.0034
32.000,1.188,-0.0866,0.0000
8.000,1.225,0.7153,0.6583
8.600,1.225,0.7020,0.6371
9.200,1.225,0.6872,0.6158
9.800,1.225,0.6710,0.5946
10.400,1.225,0.6534,0.5767
11.000,1.225,0.6347,0.5604
11.600,1.225,0.6148,0.5442
12.200,1.225,0.5940,0.5250
12.800,1.225,0.5723,0.5000
13.400,1.225,0.5498,0.4750
14.000,1.225,0.5268,0.4500
14.600,1.225,0.5031,0.4288
15.200,1.225,0.4791,0.4075
15.800,1.225,0.4547,0.3862
16.400,1.225,0.4302,0.3633
17.000,1.225,0.4055,0.3396
17.600,1.225,0.3808,0.3158
18.200,1.225,0.3561,0.2925
18.800,1.225,0.3316,0.2700
19.400,1.225,0.3072,0.2475
20.000,1.225,0.2832,0.2250
20.600,1.225,0.2594,0.2025
21.200,1.225,0.2360,0.1800
21.800,1.225,0.2130,0.1575
22.400,1.225,0.1905,0.1417
23.000,1.225,0.1684,0.1292
23.600,1.225,0.1469,0.1167
24.200,1.225,0.1259,0.1042
24.800,1.225,0.1056,0.0917
25.400,1.225,0.0858,0.0792
26.000,1.225,0.0667,0.0667
26.600,1.225,0.0483,0.0542
27.200,1.225,0.0305,0.0417
27.800,1.225,0.0135,0.0292
28.400,1.225,-0.0027,0.0225
29.000,1.225,-0.0182,0.0187
29.600,1.225,-0.0328,0.0150
30.200,1.225,-0.0466,0.0113
30.800,1.225,-0.0595,0.0075
31.400,1.225,-0.0715,0.0038
32.000,1.225,-0.0826,0.0000
8.000,1.262,0.7236,0.6646
8.600,1.262,0.7119,0.6426
9.200,1.262,0.6986,0.6206
9.800,1.262,0.6839,0.5986
10.400,1.262,0.6677,0.5804
11.000,1.262,0.6503,0.5642
11.600,1.262,0.6317,0.5479
12.200,1.262,0.6120,0.5291
12.800,1.262,0.5913,0.5052
13.400,1.262,0.5697,0.4814
14.000,1.262,0.5474,0.4575
14.600,1.262,0.5244,0.4374
15.200,1.262,0.5008,0.4172
15.800,1.262,0.4768,0.3971
16.400,1.262,0.4525,0.3751
17.000,1.262,0.4279,0.3521
17.600,1.262,0.4032,0.3291
18.200,1.262,0.3783,0.3065
18.800,1.262,0.3536,0.2848
19.400,1.262,0.3289,0.2630
20.000,1.262,0.3043,0.2412
20.600,1.262,0.2800,0.2191
21.200,1.262,0.2560,0.1970
21.800,1.262,0.2324,0.1749
22.400,1.262,0.2091,0.1574
23.000,1.262,0.1863,0.1423
23.600,1.262,0.1640,0.1272
24.200,1.262,0.1422,0.1128
24.800,1.262,0.1210,0.0999
25.400,1.262,0.1005,0.0870
26.000,1.262,0.0805,0.0742
26.600,1.262,0.0613,0.0602
27.200,1.262,0.0428,0.0462
27.800,1.262,0.0251,0.0322
28.400,1.262,0.0082,0.0257
29.000,1.262,-0.0080,0.0231
29.600,1.262,-0.0232,0.0205
30.200,1.262,-0.0375,0.0169
30.800,1.262,-0.0510,0.0112
31.400,1.262,-0.0634,0.0056
32.000,1.262,-0.0749,0.0000
8.000,1.300,0.7264,0.6708
8.600,1.300,0.7163,0.6481
9.200,1.300,0.7046,0.6253
9.800,1.300,0.6914,0.6026
10.400,1.300,0.6767,0.5842
11.000,1.300,0.6607,0.5679
11.600,1.300,0.6434,0.5517
12.200,1.300,0.6249,0.5332
12.800,1.300,0.6054,0.5105
13.400,1.300,0.5848,0.4878
14.000,1.300,0.5634,0.4650
14.600,1.300,0.5413,0.4460
15.200,1.300,0.5185,0.4270
15.800,1.300,0.4951,0.4080
16.400,1.300,0.4713,0.3868
17.000,1.300,0.4471,0.3646
17.600,1.300,0.4226,0.3423
18.200,1.300,0.3980,0.3205
18.800,1.300,0.3733,0.2995
19.400,1.300,0.3486,0.2785
20.000,1.300,0.3240,0.2575
20.600,1.300,0.2995,0.2357
21.200,1.300,0.2752,0.2140
21.800,1.300,0.2512,0.1923
22.400,1.300,0.2276,0.1732
23.000,1.300,0.2044,0.1554
23.600,1.300,0.1816,0.1377
24.200,1.300,0.1593,0.1214
24.800,1.300,0.1376,0.1082
25.400,1.300,0.1165,0.0949
26.000,1.300,0.0961,0.0817
26.600,1.300,0.0763,0.0662
27.200,1.300,0.0573,0.0507
27.800,1.300,0.0390,0.0352
28.400,1.300,0.0216,0.0290
29.000,1.300,0.0050,0.0275
29.600,1.300,-0.0107,0.0260
30.200,1.300,-0.0255,0.0225
30.800,1.300,-0.0394,0.0150
31.400,1.300,-0.0523,0.0075
32.000,1.300,-0.0641,0.0000
8.000,1.338,0.7233,0.6771
8.600,1.338,0.7147,0.6536
9.200,1.338,0.7045,0.6301
9.800,1.338,0.6928,0.6066
10.400,1.338,0.6796,0.5879
11.000,1.338,0.6650,0.5717
11.600,1.338,0.6492,0.5554
12.200,1.338,0.6320,0.5374
12.800,1.338,0.6138,0.5157
13.400,1.338,0.5945,0.4941
14.000,1.338,0.5743,0.4725
14.600,1.338,0.5532,0.4546
15.200,1.338,0.5313,0.4368
15.800,1.338,0.5088,0.4189
16.400,1.338,0.4858,0.3986
17.000,1.338,0.4623,0.3771
17.600,1.338,0.4385,0.3556
18.200,1.338,0.4144,0.3345
18.800,1.338,0.3901,0.3143
19.400,1.338,0.3657,0.2940
20.000,1.338,0.3413,0.2737
20.600,1.338,0.3170,0.2524
21.200,1.338,0.2928,0.2310
21.800,1.338,0.2689,0.2096
22.400,1.338,0.2452,0.1889
23.000,1.338,0.2219,0.1685
23.600,1.338,0.1990,0.1482
24.200,1.338,0.1765,0.1300
24.800,1.338,0.1546,0.1164
25.400,1.338,0.1332,0.1028
26.000,1.338,0.1125,0.0892
26.600,1.338,0.0925,0.0722
27.200,1.338,0.0731,0.0552
27.800,1.338,0.0545,0.0382
28.400,1.338,0.0368,0.0323
29.000,1.338,0.0198,0.0319
29.600,1.338,0.0038,0.0315
30.200,1.338,-0.0113,0.0281
30.800,1.338,-0.0255,0.0187
31.400,1.338,-0.0387,0.0094
32.000,1.338,-0.0509,0.0000
8.000,1.375,0.7140,0.6900
8.600,1.375,0.7068,0.6675
9.200,1.375,0.6981,0.6450
9.800,1.375,0.6879,0.6225
10.400,1.375,0.6762,0.6043
11.000,1.375,0.6631,0.5883
11.600,1.375,0.6487,0.5723
12.200,1.375,0.6330,0.5542
12.800,1.375,0.6162,0.5317
13.400,1.375,0.5982,0.5092
14.000,1.375,0.5793,0.4867
14.600,1.375,0.5595,0.4682
15.200,1.375,0.5388,0.4497
15.800,1.375,0.5174,0.4312
16.400,1.375,0.4954,0.4108
17.000,1.375,0.4729,0.3896
17.600,1.375,0.4499,0.3683
18.200,1.375,0.4266,0.3474
18.800,1.375,0.4031,0.3272
19.400,1.375,0.3793,0.3069
20.000,1.375,0.3555,0.2867
20.600,1.375,0.3317,0.2672
21.200,1.375,0.3080,0.2477
21.800,1.375,0.2844,0.2282
22.400,1.375,0.2610,0.2077
23.000,1.375,0.2379,0.1867
23.600,1.375,0.2151,0.1657
24.200,1.375,0.1928,0.1472
24.800,1.375,0.1709,0.1337
25.400,1.375,0.1496,0.1202
26.000,1.375,0.1289,0.1067
26.600,1.375,0.1088,0.0884
27.200,1.375,0.0893,0.0702
27.800,1.375,0.0707,0.0519
28.400,1.375,0.0528,0.0450
29.000,1.375,0.0357,0.0437
29.600,1.375,0.0195,0.0425
30.200,1.375,0.0041,0.0380
30.800,1.375,-0.0102,0.0270
31.400,1.375,-0.0237,0.0160
32.000,1.375,-0.0361,0.0050
8.000,1.413,0.6984,0.7063
8.600,1.413,0.6926,0.6856
9.200,1.413,0.6853,0.6650
9.800,1.413,0.6765,0.6444
10.400,1.413,0.6663,0.6271
11.000,1.413,0.6547,0.6115
11.600,1.413,0.6417,0.5958
12.200,1.413,0.6276,0.5773
12.800,1.413,0.6122,0.5529
13.400,1.413,0.5957,0.5285
14.000,1.413,0.5782,0.5042
14.600,1.413,0.5598,0.4842
15.200,1.413,0.5405,0.4642
15.800,1.413,0.5204,0.4442
16.400,1.413,0.4996,0.4233
17.000,1.413,0.4783,0.4021
17.600,1.413,0.4565,0.3808
18.200,1.413,0.4342,0.3598
18.800,1.413,0.4116,0.3392
19.400,1.413,0.3888,0.3185
20.000,1.413,0.3658,0.2979
20.600,1.413,0.3428,0.2810
21.200,1.413,0.3197,0.2642
21.800,1.413,0.2968,0.2473
22.400,1.413,0.2740,0.2279
23.000,1.413,0.2514,0.2073
23.600,1.413,0.2291,0.1867
24.200,1.413,0.2071,0.1685
24.800,1.413,0.1856,0.1554
25.400,1.413,0.1645,0.1423
26.000,1.413,0.1440,0.1292
26.600,1.413,0.1241,0.1098
27.200,1.413,0.1048,0.0904
27.800,1.413,0.0862,0.0710
28.400,1.413,0.0684,0.0625
29.000,1.413,0.0513,0.0594
29.600,1.413,0.0351,0.0563
30.200,1.413,0.0197,0.0500
30.800,1.413,0.0052,0.0375
31.400,1.413,-0.0083,0.0250
32.000,1.413,-0.0209,0.0125
8.000,1.450,0.6769,0.7225
8.600,1.450,0.6723,0.7037
9.200,1.450,0.6663,0.6850
9.800,1.450,0.6589,0.6662
10.400,1.450,0.6501,0.6498
11.000,1.450,0.6399,0.6346
11.600,1.450,0.6284,0.6193
12.200,1.450,0.6158,0.6004
12.800,1.450,0.6019,0.5742
13.400,1.450,0.5869,0.5479
14.000,1.450,0.5709,0.5217
14.600,1.450,0.5539,0.5002
15.200,1.450,0.5361,0.4787
15.800,1.450,0.5174,0.4572
16.400,1.450,0.4981,0.4358
17.000,1.450,0.4781,0.4146
17.600,1.450,0.4575,0.3933
18.200,1.450,0.4365,0.3722
18.800,1.450,0.4151,0.3512
19.400,1.450,0.3934,0.3302
20.000,1.450,0.3715,0.3092
20.600,1.450,0.3494,0.2949
21.200,1.450,0.3273,0.2807
21.800,1.450,0.3052,0.2664
22.400,1.450,0.2832,0.2482
23.000,1.450,0.2614,0.2279
23.600,1.450,0.2398,0.2077
24.200,1.450,0.2184,0.1899
24.800,1.450,0.1974,0.1772
25.400,1.450,0.1769,0.1644
26.000,1.450,0.1568,0.1517
26.600,1.450,0.1373,0.1312
27.200,1.450,0.1183,0.1107
27.800,1.450,0.1000,0.0902
28.400,1.450,0.0824,0.0800
29.000,1.450,0.0655,0.0750
29.600,1.450,0.0494,0.0700
30.200,1.450,0.0341,0.0620
30.800,1.450,0.0197,0.0480
31.400,1.450,0.0062,0.0340
32.000,1.450,-0.0064,0.0200
8.000,1.488,0.6500,0.7333
8.600,1.488,0.6465,0.7158
9.200,1.488,0.6417,0.6983
9.800,1.488,0.6355,0.6808
10.400,1.488,0.6279,0.6650
11.000,1.488,0.6191,0.6500
11.600,1.488,0.6091,0.6350
12.200,1.488,0.5978,0.6158
12.800,1.488,0.5854,0.5883
13.400,1.488,0.5719,0.5608
14.000,1.488,0.5574,0.5333
14.600,1.488,0.5419,0.5110
15.200,1.488,0.5256,0.4886
15.800,1.488,0.5084,0.4662
16.400,1.488,0.4905,0.4445
17.000,1.488,0.4719,0.4231
17.600,1.488,0.4528,0.4017
18.200,1.488,0.4331,0.3804
18.800,1.488,0.4130,0.3592
19.400,1.488,0.3926,0.3379
20.000,1.488,0.3719,0.3167
20.600,1.488,0.3510,0.3042
21.200,1.488,0.3300,0.2917
21.800,1.488,0.3090,0.2792
22.400,1.488,0.2879,0.2617
23.000,1.488,0.2670,0.2417
23.600,1.488,0.2463,0.2217
24.200,1.488,0.2257,0.2042
24.800,1.488,0.2055,0.1917
25.400,1.488,0.1856,0.1792
26.000,1.488,0.1662,0.1667
26.600,1.488,0.1472,0.1454
27.200,1.488,0.1287,0.1242
27.800,1.488,0.1109,0.1029
28.400,1.488,0.0937,0.0917
29.000,1.488,0.0771,0.0854
29.600,1.488,0.0613,0.0792
30.200,1.488,0.0463,0.0700
30.800,1.488,0.0320,0.0550
31.400,1.488,0.0187,0.0400
32.000,1.488,0.0062,0.0250
8.000,1.525,0.6184,0.7333
8.600,1.525,0.6158,0.7158
9.200,1.525,0.6120,0.6983
9.800,1.525,0.6069,0.6808
10.400,1.525,0.6005,0.6650
11.000,1.525,0.5929,0.6500
11.600,1.525,0.5842,0.6350
12.200,1.525,0.5742,0.6158
12.800,1.525,0.5632,0.5883
13.400,1.525,0.5511,0.5608
14.000,1.525,0.5381,0.5333
14.600,1.525,0.5240,0.5113
15.200,1.525,0.5092,0.4893
15.800,1.525,0.4934,0.4673
16.400,1.525,0.4770,0.4455
17.000,1.525,0.4599,0.4237
17.600,1.525,0.4422,0.4020
18.200,1.525,0.4239,0.3804
18.800,1.525,0.4052,0.3592
19.400,1.525,0.3861,0.3379
20.000,1.525,0.3667,0.3167
20.600,1.525,0.3471,0.3042
21.200,1.525,0.3273,0.2917
21.800,1.525,0.3074,0.2792
22.400,1.525,0.2875,0.2617
23.000,1.525,0.2676,0.2417
23.600,1.525,0.2479,0.2217
24.200,1.525,0.2283,0.2042
24.800,1.525,0.2089,0.1917
25.400,1.525,0.1899,0.1792
26.000,1.525,0.1712,0.1667
26.600,1.525,0.1530,0.1454
27.200,1.525,0.1352,0.1242
27.800,1.525,0.1179,0.1029
28.400,1.525,0.1012,0.0917
29.000,1.525,0.0852,0.0854
29.600,1.525,0.0698,0.0792
30.200,1.525,0.0552,0.0700
30.800,1.525,0.0413,0.0550
31.400,1.525,0.0283,0.0400
32.000,1.525,0.0160,0.0250
8.000,1.562,0.5830,0.7333
8.600,1.562,0.5811,0.7158
9.200,1.562,0.5781,0.6983
9.800,1.562,0.5739,0.6808
10.400,1.562,0.5685,0.6650
11.000,1.562,0.5620,0.6500
11.600,1.562,0.5544,0.6350
12.200,1.562,0.5456,0.6158
12.800,1.562,0.5359,0.5883
13.400,1.562,0.5251,0.5608
14.000,1.562,0.5133,0.5333
14.600,1.562,0.5007,0.5117
15.200,1.562,0.4872,0.4901
15.800,1.562,0.4729,0.4685
16.400,1.562,0.4578,0.4465
17.000,1.562,0.4421,0.4244
17.600,1.562,0.4258,0.4022
18.200,1.562,0.4089,0.3804
18.800,1.562,0.3916,0.3592
19.400,1.562,0.3739,0.3379
20.000,1.562,0.3558,0.3167
20.600,1.562,0.3375,0.3042
21.200,1.562,0.3190,0.2917
21.800,1.562,0.3003,0.2792
22.400,1.562,0.2816,0.2617
23.000,1.562,0.2628,0.2417
23.600,1.562,0.2442,0.2217
24.200,1.562,0.2256,0.2042
24.800,1.562,0.2073,0.1917
25.400,1.562,0.1892,0.1792
26.000,1.562,0.1714,0.1667
26.600,1.562,0.1540,0.1454
27.200,1.562,0.1370,0.1242
27.800,1.562,0.1205,0.1029
28.400,1.562,0.1045,0.0917
29.000,1.562,0.0891,0.0854
29.600,1.562,0.0744,0.0792
30.200,1.562,0.0603,0.0700
30.800,1.562,0.0469,0.0550
31.400,1.562,0.0343,0.0400
32.000,1.562,0.0224,0.0250
8.000,1.600,0.5447,0.7333
8.600,1.600,0.5434,0.7158
9.200,1.600,0.5410,0.6983
9.800,1.600,0.5374,0.6808
10.400,1.600,0.5329,0.6650
11.000,1.600,0.5272,0.6500
11.600,1.600,0.5205,0.6350
12.200,1.600,0.5128,0.6158
12.800,1.600,0.5041,0.5883
13.400,1.600,0.4945,0.5608
14.000,1.600,0.4839,0.5333
14.600,1.600,0.4725,0.5121
15.200,1.600,0.4602,0.4908
15.800,1.600,0.4472,0.4696
16.400,1.600,0.4335,0.4475
17.000,1.600,0.4191,0.4250
17.600,1.600,0.4041,0.4025
18.200,1.600,0.3886,0.3804
18.800,1.600,0.3726,0.3592
19.400,1.600,0.3562,0.3379
20.000,1.600,0.3394,0.3167
20.600,1.600,0.3224,0.3042
21.200,1.600,0.3051,0.2917
21.800,1.600,0.2877,0.2792
22.400,1.600,0.2702,0.2617
23.000,1.600,0.2526,0.2417
23.600,1.600,0.2351,0.2217
24.200,1.600,0.2177,0.2042
24.800,1.600,0.2004,0.1917
25.400,1.600,0.1833,0.1792
26.000,1.600,0.1665,0.1667
26.600,1.600,0.1501,0.1454
27.200,1.600,0.1340,0.1242
27.800,1.600,0.1183,0.1029
28.400,1.600,0.1032,0.0917
29.000,1.600,0.0886,0.0854
29.600,1.600,0.0745,0.0792
30.200,1.600,0.0611,0.0700
30.800,1.600,0.0484,0.0550
31.400,1.600,0.0364,0.0400
32.000,1.600,0.0251,0.0250
